full_text,token_count,text_clean,label
fyi ใครเลือกผ่อน shopee หลายๆเดือนไป แล้ววันนึงอยากปิดยอด spaylater มีให้ปิดยอดด้วยนะคะ ส่งแบบฟอร์มขอชำระบิลล่วงหน้าไปในระบบ รอเจ้าหน้าที่อนุมัติประมาณ 2-3 วันค่ะ และก็จะได้ดอกเบี้ยคืนด้วยค่ะ https://t.co/LSTH5VG6mz,186,fyi shopee spaylater 2-3,positif
"💚 ada transaksi di akun shopee adekku segini make paylater dan berulang ulang, tagihannya sampe 2 jt an. dia bilangnya gatau bukan dia. Warga twitter ada yang familiar sama qris gopay dengan nama akun ini gak ya? https://t.co/M8T5peBESq",80,transaksi akun shopee adekku gin make paylater ulang ulang tagih sampe 2 jt an bilang gatau bukan dia warga twitter yang familiar sama qris gopay nama akun tidak ya,negatif
"Rekomendasi Dompet on Shopee 🌼

— a thread https://t.co/t54b4HyKfC",29,rekomendasi dompet on shopee a thread,netral
"shopeeのレビュー率マジでバグってるw
国内物販やってる人にはわかる異常値🤣 https://t.co/Lebf5jdSOn",51,shopee w,negatif
"Spaylater di Shopee ada processing fee tau. Masa nak buat bayaran tu nanti, dia akan ada charge kat situ mengikut berapa jumlah yang perlu dibayar iaitu 1.5%

Jadi jangan seronok sangat tengok 0% interest walau berhutang 6 bulan. Kalau perlu bayar RM1,000 maka jumlah processing https://t.co/pgWjY92GW1",96,spaylater shopee processing fee tau masa nak buat bayar tu nanti akan charge kat situ ikut berapa jumlah perlu bayar iaitu 1 5 jadi jangan seronok sangat tengok 0 interest hutang 6 bulan kalau perlu bayar rm1 00 jumlah processing,negatif
"Jujur baru tau banget sekarang bunga 0% buat checkout belanja di Shopee pake SPayLater khusus yang bayar bulan depan 🤔

Dan sekarang kalo kemana mana lupa topup saldo ga perlu ribet bayar QRIS juga bisa pake SPayLater, oke banget gak tuh! https://t.co/WM2nwzaAP1",96,jujur baru tau banget sekarang bunga 0 buat checkout belanja shopee pake spaylater khusus bayar bulan depan sekarang kalo mana lupa topup saldo perlu ribet bayar qris bisa pake spaylater oke banget tuh,positif
"ข่าวดีค่ะ🥳
Shopee ส่งเมลมาเมื่อเช้าว่าดำเนินการระงับสินค้าให้เรียบร้อย! https://t.co/tZkJE3jGQw",71,shopee,positif
เงินเดือนออกล้วก็อย่าลืมเอามาเติมเหรียญอ่านนิยายเกเน้ ถ้าเติม meb coin แล้วจ่ายเป็น SPayLater ใน ShopeePay จ่าย 11 บ. ได้ 50 เหรียญสำหรับลูกค้าใหม่ // ลูกค้าเก่าจ่าย 89 บ. ได้ 100เหรียญ 🛎️ ใครยังไม่ได้ใช้โค้ดรีบๆๆๆๆๆเลอ หมดเขตสิ้นเดือนนี้ 🫶🏻 https://t.co/HrtQjX7jT9,223,meb coin spaylater shopeepay 11 50 89 100,positif
"Apps 32 Za pesaaaaaaaaaaaaaaaa

1) Survey Junkie
2) Swagbucks
3) Branded Surveys
4) LifePoints

5) Ibotta
6) Fetch Rewards
7) Rakuten
8) Acorns

9) Drop
10) Pinecone Research
11) YouGov
12) PointClub

13) TopCashback
14) MySoapbox
15) BeFrugal
16) InboxDollars

17) Robinhood
18) https://t.co/FwvCLoh5Ds",115,apps 32 za pesaa 1 survey junkie 2 swagbucks 3 branded surveys 4 lifepoints 5 ibotta 6 fetch rewards 7 rakuten 8 acorns 9 drop 10 pinecone research 11 yougov 12 pointclub 13 topcashback 14 mysoapbox 15 befrugal 16 inboxdollars 17 robinhood 18,netral
"⋆｡𖦹° leftovers stock! 

 25.3 on shopee ina
— 🕐 15.30 WIB https://t.co/IwEF3RI4TN",46,leftovers stock 25 3 on shopee ina 15 30 wib,netral
