text
"Spaylater ini sangat membantu buat belanja bulanan, bunganya juga masih wajar 👍"
"Buru-buru aktifin spaylater malah ditolak terus, ribet banget!"
"Biasa aja sih fiturnya, ga ada yang spesial. #shopeepay"
"Pengembalian dana ke spaylater kadang lama banget, kesel"
"Cashback dari spaylater lumayan, suka deh"
"Kenapa limit spaylater saya turun terus??? ga ngerti lagi"
"Netral ya menurut saya, dipakai pas butuh aja"
"CS shopee untuk spaylater responsnya cepat, good job"
"Sistemnya error mulu pas mau bayar pakai spaylater 😤"
"Tutorial di apps sudah jelas, pemula juga bisa pakai spaylater"
